2019-10-30 10:25:17,930 - psychic_paper | INFO : 70 - The Time Lord has started!
2019-10-30 10:25:19,187 - psychic_paper | DEBUG : 76 - Shotgun is connected.
2019-10-30 10:25:20,930 - psychic_paper | DEBUG : 1394 - Getting default selection from settings.
2019-10-30 10:25:20,931 - psychic_paper | DEBUG : 1399 - Setting project to last project listed.
2019-10-30 10:25:20,931 - psychic_paper | DEBUG : 1464 - Setting tasks...
2019-10-30 10:25:20,931 - psychic_paper | DEBUG : 1465 - None
2019-10-30 10:25:20,944 - psychic_paper | DEBUG : 1488 - Switching tasks...
2019-10-30 10:25:21,115 - psychic_paper | DEBUG : 1424 - [{'code': 'Overhead', 'type': 'Asset', 'id': 6244}, {'code': 'PTO', 'type': 'Asset', 'id': 6245}, {'code': 'Unpaid', 'type': 'Asset', 'id': 6246}]
2019-10-30 10:25:21,115 - psychic_paper | DEBUG : 1438 - Setting entity to last saved entity
2019-10-30 10:25:21,408 - psychic_paper | DEBUG : 1464 - Setting tasks...
2019-10-30 10:25:21,408 - psychic_paper | DEBUG : 1465 - [{'content': 'Meeting', 'step': None, 'type': 'Task', 'id': 22828, 'entity': {'type': 'Asset', 'id': 6244, 'name': 'Overhead'}}, {'content': 'Training', 'step': None, 'type': 'Task', 'id': 22829, 'entity': {'type': 'Asset', 'id': 6244, 'name': 'Overhead'}}, {'content': 'Offsite', 'step': None, 'type': 'Task', 'id': 22830, 'entity': {'type': 'Asset', 'id': 6244, 'name': 'Overhead'}}, {'content': 'Sales', 'step': None, 'type': 'Task', 'id': 22831, 'entity': {'type': 'Asset', 'id': 6244, 'name': 'Overhead'}}, {'content': 'SkillsDeveleopment', 'step': None, 'type': 'Task', 'id': 22832, 'entity': {'type': 'Asset', 'id': 6244, 'name': 'Overhead'}}, {'content': 'VFXBreakdowns', 'step': None, 'type': 'Task', 'id': 22833, 'entity': {'type': 'Asset', 'id': 6244, 'name': 'Overhead'}}, {'content': 'Admin', 'step': None, 'type': 'Task', 'id': 22841, 'entity': {'type': 'Asset', 'id': 6244, 'name': 'Overhead'}}, {'content': 'Supervision', 'step': None, 'type': 'Task', 'id': 22842, 'entity': {'type': 'Asset', 'id': 6244, 'name': 'Overhead'}}, {'content': 'Pipeline', 'step': None, 'type': 'Task', 'id': 22843, 'entity': {'type': 'Asset', 'id': 6244, 'name': 'Overhead'}}]
